Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
March,39,Manager,8701.545_,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,,8.86,6.0,Standard,2602.69,36.47591386327275,9 Years and 1 Months,NM,36.54819717138717,45.6509755447516,Low_spent_Large_value_payments,239.71370228386124,Poor
April,39,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,7,8.86,6.0,Standard,2602.69,32.09749227865355,9 Years and 2 Months,Yes,36.54819717138717,20.390183876957128,Low_spent_Small_value_payments,284.9744939516557,Poor
May,39,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,9,8.86,6.0,Standard,2602.69,37.16937449181635,9 Years and 3 Months,Yes,36.54819717138717,50.486952198712274,Low_spent_Small_value_payments,254.87772562990057,Poor
June,39,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,6,_,6.0,Standard,2602.69,28.570031407996353,9 Years and 4 Months,Yes,36.54819717138717,52.931613407134115,Low_spent_Medium_value_payments,242.43306442147872,Poor
July,39,Manager,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",21,9,_,9.0,Standard,2602.69,38.46541540543407,,Yes,36.54819717138717,30.471806299271933,Low_spent_Medium_value_payments,264.8928715293409,Poor
August,39,Manager,8701.545_,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,9.0,Standard,2602.69,28.815537059010616,9 Years and 6 Months,NM,36.54819717138717,,Low_spent_Small_value_payments,264.7720511316515,Poor
January,36,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,7.83,5.0,Standard,758.44,37.41820916883601,18 Years and 2 Months,NM,101.3286373638512,53.104599112612064,High_spent_Medium_value_payments,337.1522635235368,Standard
February,-500,Entrepreneur,25546.26,,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,13,7.83,,Standard,758.44,29.711375540929513,18 Years and 3 Months,Yes,101.3286373638512,300.32323168069064,Low_spent_Small_value_payments,129.9336309554582,Standard
March,37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,5.0,Standard,758.44,25.413616742350907,18 Years and 4 Months,Yes,101.3286373638512,91.21658676189335,Low_spent_Large_value_payments,319.0402758742555,Standard
April,37,Entrepreneur,25546.26_,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,,Standard,758.44,35.946278218900645,18 Years and 5 Months,Yes,101.3286373638512,83.7147504914459,High_spent_Medium_value_payments,306.54211214470297,Standard
May,37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,13,7.83,5.0,_,758.44,28.2774200145778,18 Years and 6 Months,Yes,101.3286373638512,311.99934746655674,Low_spent_Small_value_payments,118.2575151695921,Standard
June,37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,5.0,_,758.44,34.58659948959524,,Yes,101.3286373638512,61.7307484719951,High_spent_Small_value_payments,338.52611416415374,Standard
July,37,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,10.83,5.0,Standard,758.44,30.099067241911712,18 Years and 8 Months,Yes,101.3286373638512,130.30039377019006,Low_spent_Small_value_payments,299.9564688659588,Standard
August,37,Entrepreneur,25546.26,2415.855,8,7,14,5_,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",15,13_,7.83,5.0,Standard,758.44,39.33348789822524,18 Years and 9 Months,Yes,101.3286373638512,189.81586133347676,Low_spent_Medium_value_payments,230.44100130267208,Standard
January,30,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,6.28,0.0,Standard,818.22,25.36959679239191,16 Years and 10 Months,Yes,45.14129822463578,81.99883505710139,Low_spent_Medium_value_payments,447.0747000515962,Standard
February,30,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",12,14,6.28,0.0,Standard,818.22,37.958569410003335,16 Years and 11 Months,Yes,45.14129822463578,__10000__,Low_spent_Small_value_payments,157.86980351234496,Standard
March,181,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,10.28,1.0,Standard,818.22,27.38010904580052,17 Years and 0 Months,Yes,45.14129822463578,264.25708850339777,Low_spent_Small_value_payments,274.8164466052998,Standard
April,30_,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,6.28,1.0,_,818.22,34.15826211876792,17 Years and 1 Months,Yes,45.14129822463578,152.4523258823164,Low_spent_Medium_value_payments,376.6212092263812,Standard
May,30,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14_,6.28,1.0,Standard,818.22,30.788038803709785,17 Years and 2 Months,Yes,45.14129822463578,43.470408666891174,High_spent_Medium_value_payments,455.6031264418064,Standard
June,31,Scientist,31993.78,,6,6,7,2_,"Payday Loan, and Home Equity Loan",8,14,6.28,1.0,Standard,818.22,34.280968719435315,17 Years and 3 Months,Yes,45.14129822463578,112.7238874320964,High_spent_Small_value_payments,396.3496476766012,Standard
July,31,Scientist,31993.78,,6,6,7,-100,"Payday Loan, and Home Equity Loan",8,16,6.28,1.0,Standard,818.22,29.50345426644775,17 Years and 4 Months,Yes,45.14129822463578,104.55723619082673,High_spent_Small_value_payments,404.5162989178708,Standard
August,31,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,16,6.28,1.0,Standard,818.22,36.012793772472094,17 Years and 5 Months,Yes,45.14129822463578,97.58820324481087,Low_spent_Large_value_payments,421.4853318638867,Standard
January,20,Accountant,92047.08,,6,7,16,0,,16,11,9.13,0.0,Standard,1296.64,37.11561494309292,29 Years and 2 Months,Yes,0.0,154.6341231395093,!@9#%8,854.5248768604907,Standard
February,20,Accountant,92047.08_,7591.59,6,7,16,0,,16,11,9.13,4.0,Standard,1296.64,39.46775837121139,29 Years and 3 Months,Yes,0.0,710.4953806729873,Low_spent_Medium_value_payments,328.66361932701284,Standard
March,20,Accountant,92047.08,7591.59,6,7,16,0,,18,11,9.13,4.0,_,1296.64,27.792788363714145,29 Years and 4 Months,Yes,0.0,175.4456226582996,High_spent_Large_value_payments,823.7133773417005,Standard
April,20,Accountant,92047.08,7591.59,6,7,16,0_,,16,11,9.13,4.0,Standard,1296.64,42.944681681740505,,Yes,0.0,120.90755376622221,High_spent_Large_value_payments,878.2514462337779,Poor
May,20,Accountant,92047.08,7591.59,6,7,16,0,,16,8,9.13,4.0,Standard,1296.64,34.3576502428514,29 Years and 6 Months,NM,0.0,78.71934549426288,High_spent_Large_value_payments,920.4396545057372,Poor
June,20,Accountant,92047.08,7591.59,6,7,16,0,,16,13,13.13,4.0,Standard,1296.64,28.776937743887977,,Yes,0.0,266.5850272142179,Low_spent_Small_value_payments,782.5739727857823,Poor
July,20,Accountant,92047.08,7591.59,6,7,16,0,,16,10,9.13,4.0,_,1296.64,40.75852163733138,29 Years and 8 Months,Yes,0.0,59.28557022863863,High_spent_Large_value_payments,939.8734297713614,Poor
August,20,Accountant,92047.08,7591.59,6,7,16,0,,16,11,9.13,4.0,Standard,1296.64,27.727646781775498,29 Years and 9 Months,Yes,0.0,268.0846032992916,Low_spent_Large_value_payments,761.0743967007086,Poor
January,45,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12,9.22,8.0,Standard,1283.37,28.940892588545452,6 Years and 5 Months,Yes,103.03756035536594,254.86161508896942,Low_spent_Medium_value_payments,211.93932455566463,Standard
February,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12,9.22,8.0,Standard,1283.37,27.86131019311364,6 Years and 6 Months,Yes,103.03756035536594,103.21030741657007,Low_spent_Large_value_payments,353.59063222806395,Standard
March,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",10,12,9.22,8.0,Standard,1283.37,27.88169704475605,6 Years and 7 Months,Yes,103.03756035536594,35.793568414159616,High_spent_Large_value_payments,391.00737123047446,Standard
April,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12,9.22,8.0,Standard,1283.37,38.39455822201335,6 Years and 8 Months,Yes,103.03756035536594,280.21825375922106,Low_spent_Small_value_payments,196.582685885413,Standard
May,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",15,,8.22,10.0,_,1283.37,33.23978443489355,6 Years and 9 Months,Yes,103.03756035536594,154.0197492180297,High_spent_Small_value_payments,292.7811904266044,Standard
June,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12_,8.22,10.0,Standard,1283.37,26.874467413543886,6 Years and 10 Months,Yes,103.03756035536594,272.2735499123763,Low_spent_Small_value_payments,204.52738973225772,Standard
July,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",7,,9.22,10.0,Standard,1283.37_,24.205533202276374,6 Years and 11 Months,Yes,103.03756035536594,__10000__,Low_spent_Small_value_payments,85.90209492602362,Standard
August,46,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",13,12,2.2200000000000006,10.0,Standard,1283.37,27.930123710625228,7 Years and 0 Months,Yes,103.03756035536594,359.7718322852988,Low_spent_Small_value_payments,117.02910735933534,Standard
January,26,Musician,97791.42,8079.285,6,6,12,0_,,18,8,17.92,1.0,Standard,107.41,25.71557884311532,27 Years and 2 Months,Yes,0.0,451.24651936958776,Low_spent_Small_value_payments,646.6819806304122,Standard
February,26,Musician,97791.42,8079.285,6,6,12,0,,18,8,11.920000000000002,1.0,_,107.41,28.711202517052943,27 Years and 3 Months,Yes,0.0,322.7203197056673,Low_spent_Large_value_payments,755.2081802943327,Standard
March,26,Musician,97791.42,8079.285,6,6,12,0,,18,7,17.92,1.0,_,107.41,34.92287233220604,27 Years and 4 Months,Yes,0.0,176.26422577485542,High_spent_Medium_value_payments,881.6642742251445,Standard
April,26,Musician,97791.42,,6,6,12,0,,19,8,15.920000000000002,1.0,Standard,107.41,26.51363149248924,27 Years and 5 Months,Yes,629.8156531464217,499.24501998175833,Low_spent_Medium_value_payments,588.6834800182418,Good
May,26,Musician,97791.42,7449.469346853578,6,6,12,0,,18,,17.92,1.0,_,107.41,38.64911430691306,27 Years and 6 Months,Yes,629.8156531464217,77.60922833984066,High_spent_Large_value_payments,970.3192716601592,Good
June,26,Musician,97791.42,7449.469346853578,6,6,12,0,,16,8,17.92,1.0,Standard,107.41,44.676888593962104,27 Years and 7 Months,Yes,629.8156531464217,108.30393861997324,High_spent_Large_value_payments,939.6245613800266,Good
July,26,Musician,97791.42,7449.469346853578,6,6,12,0,,18,8,13.920000000000002,1.0,Standard,107.41,28.807349824215013,27 Years and 8 Months,Yes,629.8156531464217,743.540801271909,!@9#%8,334.38769872809104,Standard
August,26,Musician,97791.42_,7449.469346853578,6,6,12,0,,18,8,17.92,1.0,Standard,107.41,33.89444259920451,27 Years and 9 Months,Yes,629.8156531464217,110.31820362533672,High_spent_Medium_value_payments,947.6102963746632,Good
January,31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",52,,9.95,7.0,Bad,2430.21,29.934185732751413,18 Years and 2 Months,Yes,49.57206224445275,79.17641583265376,Low_spent_Small_value_payments,312.48768858956015,Poor
February,31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,18,9.95,7.0,Bad,2430.21,36.6412035787929,18 Years and 3 Months,NM,49.57206224445275,55.29821298839304,High_spent_Small_value_payments,306.3658914338209,Poor
March,31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",48,19,15.95,7.0,_,2430.21,37.62486247304565,,Yes,49.57206224445275,140.81859591726788,Low_spent_Large_value_payments,230.84550850494605,Poor
April,31,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,9.95,7.0,Bad,2430.21,28.870386917234462,18 Years and 5 Months,Yes,49.57206224445275,61.428029874778424,High_spent_Small_value_payments,300.23607454743546,Standard
May,32,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,9.95,7.0,Bad,2430.21,28.05884596384257,,Yes,49.57206224445275,173.0425507765921,Low_spent_Small_value_payments,218.62155364562184,Poor
June,32,_______,19300.34,1512.361666666667,6,1029,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,17,9.95,8.0,Bad,2430.21,25.84779062032988,18 Years and 7 Months,Yes,49.57206224445275,83.44744882880191,Low_spent_Large_value_payments,288.21665559341204,Poor
July,32,Entrepreneur,19300.34,,6,7,17,5_,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,8.95,8.0,_,2430.21,25.84314493873217,18 Years and 8 Months,Yes,56566.0,120.9754898578697,Low_spent_Large_value_payments,250.68861456434425,Poor
August,32,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",53,19,9.95,8.0,Bad,2430.21,23.70919322410504,18 Years and 9 Months,Yes,49.57206224445275,118.1855506983746,Low_spent_Medium_value_payments,263.4785537238393,Standard
January,41,Musician,19514.88,1828.24,7,5,17,0,,30,12,4.17,2.0,_,881.4,26.084542750932684,19 Years and 3 Months,NM,0.0,50.14372713919671,High_spent_Medium_value_payments,382.6802728608033,Standard
February,41,Musician,19514.88,1828.24,7,5,17,0,,30,14,4.17,2.0,_,881.4,25.665856781285065,19 Years and 4 Months,No,0.0,__10000__,High_spent_Large_value_payments,381.8960652385857,Standard
March,41,Musician,19514.88,1828.24,7,5,17,0,,30,12,4.17,2.0,Standard,881.4,33.66946005394869,19 Years and 5 Months,No,0.0,43.315824459505386,High_spent_Medium_value_payments,389.5081755404946,Standard
April,41,Musician,19514.88,1828.24,7,488,17,0,,30,12,4.17,2.0,Standard,881.4,34.503707241298585,19 Years and 6 Months,No,0.0,45.388820313894996,High_spent_Medium_value_payments,387.43517968610496,Poor
May,41,Musician,19514.88,,7,5,17,0,,30,,4.17,2.0,Standard,881.4,41.17638419789344,19 Years and 7 Months,No,0.0,168.34146287619103,Low_spent_Small_value_payments,304.48253712380904,Poor
June,41,_______,19514.88,,7,5,17,0,,30,12,4.17,2.0,Standard,881.4,38.78807246113495,19 Years and 8 Months,No,0.0,151.3776397937309,Low_spent_Small_value_payments,321.4463602062691,Poor
July,41,Musician,19514.88,1828.24,7,5,17,0,,30,15,4.17,2.0,Standard,881.4,27.182482771287628,19 Years and 9 Months,No,0.0,184.63115997411617,Low_spent_Medium_value_payments,278.1928400258838,Poor
August,41,Musician,19514.88,,7,5,5240,0,,26,11,4.17,4.0,_,881.4,28.781887776659712,19 Years and 10 Months,No,0.0,99.1415414879628,High_spent_Small_value_payments,343.6824585120372,Poor
January,41,Media_Manager,10183.015,,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,,8.969999999999997,6.0,Bad,1672.43,25.951272885300533,10 Years and 1 Months,Yes,37.58807283812568,14.622739235117402,High_spent_Large_value_payments,295.2476462600903,Poor
February,41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,18,7.97,6.0,Bad,1672.43,32.38559762083814,10 Years and 2 Months,NM,37.58807283812568,92.36195001929579,Low_spent_Small_value_payments,267.5084354759118,Poor
March,41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,23,7.97,6.0,Bad,1672.43,23.731347914755407,10 Years and 3 Months,Yes,37.58807283812568,91.88397193610828,Low_spent_Small_value_payments,267.9864135590994,Poor
April,41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",43,20,7.97,6.0,_,1672.43,27.61417777754393,10 Years and 4 Months,Yes,37.58807283812568,46.8104157513052,High_spent_Small_value_payments,283.0599697439025,Standard
May,41,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",51,,7.97,6.0,Bad,1672.43,32.29348991062007,10 Years and 5 Months,Yes,37.58807283812568,65.83126164076859,!@9#%8,294.03912385443914,Poor
June,42,_______,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,24,10.97,1050.0,Bad,1672.43,25.105402554318484,10 Years and 6 Months,Yes,37.58807283812568,73.89986104079846,Low_spent_Small_value_payments,285.9705244544092,Poor
July,42,Media_Manager,10183.015,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",52,21,7.97,6.0,_,1672.43,24.713823993258373,10 Years and 7 Months,Yes,37.58807283812568,61.863727578026115,Low_spent_Small_value_payments,298.00665791718154,Poor
August,42,Media_Manager,10183.015_,1074.5845833333333,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,6.0,Bad,1672.43,36.83702882243363,10 Years and 8 Months,Yes,37.58807283812568,71.12274735436063,Low_spent_Small_value_payments,288.747638140847,Poor
January,19,Entrepreneur,106733.13,8873.4275,4,4,1,0,,10,8_,0.86,0.0,_,76.23,29.815895626895166,32 Years and 9 Months,No,0.0,388.36035366098815,Low_spent_Large_value_payments,768.9823963390119,Good
February,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,,5,7,_,0.0,_,76.23,28.108086289939237,32 Years and 10 Months,No,0.0,807.2067768357648,Low_spent_Small_value_payments,370.1359731642354,Good
March,20,Entrepreneur,106733.13,8873.4275,4,4,4975,0,,2,6,0.86,0.0,Good,76.23,42.070458602150005,32 Years and 11 Months,No,0.0,172.03282853259896,High_spent_Large_value_payments,955.3099214674012,Good
April,20,Entrepreneur,106733.13,,4,4,1,0,,5,7,-4.14,0.0,Good,76.23,25.84254793986021,33 Years and 0 Months,No,0.0,644.2873937406405,Low_spent_Large_value_payments,513.0553562593595,Good
May,20,Entrepreneur,106733.13_,8873.4275,4,4,1,-100,,5,6,0.86,0.0,Good,76.23,28.8205537792444,33 Years and 1 Months,No,0.0,345.60913541068396,High_spent_Medium_value_payments,791.733614589316,Good
June,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,,5,6,-0.14,0.0,Good,76.23,31.72760359530652,,No,0.0,,High_spent_Medium_value_payments,913.0316546874346,Standard
July,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,,9,4,0.86,1.0,_,76.23,43.6651184057441,,No,0.0,191.03537260177933,High_spent_Large_value_payments,936.3073773982208,Standard
August,20,Entrepreneur,106733.13,8873.4275,4,4,1,0,,7,6,0.86,1.0,Good,76.23,39.24363977621796,33 Years and 4 Months,No,0.0,384.7637247797149,!@9#%8,792.5790252202852,Standard
January,31_,Lawyer,12600.445,782.0370833333334,5,5,10,-100,"Not Specified, Student Loan, and Student Loan",28,19,15.79,7.0,_,569.8,33.07588356651339,12 Years and 3 Months,Yes,26.060347529205966,0.0,High_spent_Large_value_payments,284.2982044805207,Standard
February,31,Lawyer,12600.445,782.0370833333334,5,5,10,-100,"Not Specified, Student Loan, and Student Loan",25,18,15.79,7.0,Standard,569.8,38.15374125597254,12 Years and 4 Months,Yes,26.060347529205966,103.15861791443639,Low_spent_Small_value_payments,238.98474288969095,Standard
March,31,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,16,15.79,7.0,Standard,569.8,23.17983273627976,12 Years and 5 Months,Yes,26.060347529205966,32.02630794260436,Low_spent_Small_value_payments,310.117052861523,Standard
April,32,_______,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,18,15.79,,Standard,569.8,28.819407058304,12 Years and 6 Months,Yes,33746.0,31.14919791081519,Low_spent_Medium_value_payments,300.9941628933122,Poor
May,32,Lawyer,12600.445_,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",20,19,15.79,7.0,Standard,569.8,37.24021434251173,12 Years and 7 Months,Yes,26.060347529205966,41.0826367012432,Low_spent_Small_value_payments,301.0607241028842,Poor
June,32,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,7.0,Standard,569.8,36.52748004014412,12 Years and 8 Months,Yes,26.060347529205966,48.00806665619237,Low_spent_Small_value_payments,294.135294147935,Poor
July,32,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,20,21.79,7.0,Standard,569.8,34.125305925956305,,Yes,26.060347529205966,56.908895859705574,Low_spent_Medium_value_payments,275.2344649444218,Poor
August,32,Lawyer,12600.445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,11.0,Standard,569.8,31.978873515820705,12 Years and 10 Months,Yes,26.060347529205966,66.37358000122424,Low_spent_Small_value_payments,275.76978080290314,Poor
January,34,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",47,19,7.27,12.0,Bad,3532.83,32.321769461626175,,Yes,200.43261339470683,265.70621194860047,Low_spent_Small_value_payments,295.95384132335937,Poor
February,34,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",53,21,7.27,1044.0,Bad,3532.83,37.87364186839308,12 Years and 3 Months,Yes,200.43261339470683,193.87337542933238,High_spent_Medium_value_payments,327.78667784262745,Standard
March,34,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,,7.27,17.0,Bad,3532.83,37.81024308787287,12 Years and 4 Months,Yes,200.43261339470683,534.3581783879267,Low_spent_Small_value_payments,27.301874884033168,Poor
April,34,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,22,7.27,17.0,_,3532.83,32.56739683731984,12 Years and 5 Months,Yes,200.43261339470683,197.64049552810002,High_spent_Medium_value_payments,324.0195577438599,Poor
May,34,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,21,10.27,17.0,Bad,3532.83,37.28428974024728,12 Years and 6 Months,Yes,200.43261339470683,205.25015227427863,Low_spent_Small_value_payments,356.4099009976813,Poor
June,34,Mechanic,57983.12_,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",46,21,7.27,17.0,Bad,3532.83,35.25737829905026,12 Years and 7 Months,Yes,200.43261339470683,626.869242023209,Low_spent_Small_value_payments,,Standard
July,34,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",49,21,7.27,1936.0,Bad,3532.83,24.63149693005803,12 Years and 8 Months,Yes,200.43261339470683,234.73204010983818,Low_spent_Medium_value_payments,316.9280131621217,Standard
August,34,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,24,7.27,,_,3532.83,24.726351303352537,12 Years and 9 Months,Yes,200.43261339470683,159.13672195005464,High_spent_Medium_value_payments,362.5233313219053,Poor
January,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,3.0,Standard,614.6,23.723185779641085,17 Years and 10 Months,No,42.22199265643221,__10000__,Low_spent_Small_value_payments,253.32562235082096,Standard
February,48,_______,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",24,,1.13,3.0,Standard,614.6,34.235852681958825,17 Years and 11 Months,No,42.22199265643221,82.62718037237505,Low_spent_Large_value_payments,345.0815769711927,Standard
March,48,_______,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,,1.13,3.0,Standard,614.6,22.80214523254044,,No,42.22199265643221,110.17209563183977,Low_spent_Small_value_payments,337.53666171172796,Standard
April,48,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,12,1.13,3.0,Standard,614.6,37.06719824335469,18 Years and 1 Months,No,42.22199265643221,89.87484896281485,Low_spent_Large_value_payments,337.83390838075286,Standard
May,48,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,-2.87,3.0,Standard,614.6,29.339029437569323,18 Years and 2 Months,No,42.22199265643221,155.4609440434731,Low_spent_Small_value_payments,292.24781330009466,Standard
